1542294358.240538647	84:9c:a6:8f:ed:9f	64:a2:f9:31:38:72	40	-79
1542294358.240796408			29	-79
1542294358.260731772			25	-77
1542294358.260967553			25	-78
1542294358.273578230	84:9c:a6:8f:ed:9f	64:a2:f9:31:38:72	40	-74
1542294358.300042241	84:9c:a6:8f:ed:9f	64:a2:f9:31:38:72	40	-76
1542294358.321791720	84:9c:a6:8f:ed:9f	64:a2:f9:31:38:72	40	-76
1542294358.348968595	84:9c:a6:8f:ed:9f	64:a2:f9:31:38:72	40	-75
1542294358.355608439	84:9c:a6:8f:ed:9f	64:a2:f9:31:38:72	40	-81
1542294358.387339741	84:9c:a6:8f:ed:9f	64:a2:f9:31:38:72	40	-76
