8c:3a:e3:51:6a:48, 1542447602, 1542448069, patricia, 467
8c:3a:e3:51:6a:48, 1542447660, 1542448069, patricia, 409
8c:3a:e3:51:6a:48, 1542448031, 1542448069, patricia, 38
56:7d:75:3b:63:84, 1542447808, 1542448097, patricia, 289
d4:76:ea:09:3b:2d, 1542448068, 1542448140, patricia, 72
d4:76:ea:09:3b:2d, 1542448111, 1542448140, patricia, 29
4c:09:d4:33:a1:a5, 1542448166, 1542448213, patricia, 47
d4:76:ea:09:3b:2d, 1542448237, 1542448250, patricia, 13
d0:03:4b:ca:28:5b, 1542447565, 1542448250, patricia, 685
d0:03:4b:ca:28:5b, 1542447618, 1542448250, patricia, 632
d0:03:4b:ca:28:5b, 1542447652, 1542448250, patricia, 598
d0:03:4b:ca:28:5b, 1542448080, 1542448250, patricia, 170
d0:03:4b:ca:28:5b, 1542448111, 1542448250, patricia, 139
52:5d:bd:a2:eb:d0, 1542447586, 1542448258, patricia, 672
52:5d:bd:a2:eb:d0, 1542448066, 1542448258, patricia, 192
00:00:00:02:02:02, 1542447612, 1542448297, patricia, 685
00:00:00:02:02:02, 1542447818, 1542448297, patricia, 479
00:00:00:02:02:02, 1542447857, 1542448297, patricia, 440
00:00:00:02:02:02, 1542448035, 1542448297, patricia, 262
00:00:00:02:02:02, 1542448083, 1542448297, patricia, 214
00:00:00:02:02:02, 1542448118, 1542448297, patricia, 179
00:00:00:02:02:02, 1542448245, 1542448297, patricia, 52
c0:f4:e6:fb:07:3c, 1542447109, 1542448307, patricia, 1198
68:c4:4d:ec:cf:cb, 1542448131, 1542448327, patricia, 196
9e:bd:2d:d4:1c:d0, 1542448161, 1542448328, patricia, 167
88:d2:74:af:ea:8d, 1542447034, 1542448373, patricia, 1339
88:d2:74:af:ea:8d, 1542447144, 1542448373, patricia, 1229
88:d2:74:af:ea:8d, 1542447393, 1542448373, patricia, 980
88:d2:74:af:ea:8d, 1542447544, 1542448373, patricia, 829
88:d2:74:af:ea:8d, 1542447617, 1542448373, patricia, 756
88:d2:74:af:ea:8d, 1542447669, 1542448373, patricia, 704
88:d2:74:af:ea:8d, 1542447728, 1542448373, patricia, 645
88:d2:74:af:ea:8d, 1542447804, 1542448373, patricia, 569
88:d2:74:af:ea:8d, 1542447942, 1542448373, patricia, 431
88:d2:74:af:ea:8d, 1542447976, 1542448373, patricia, 397
88:d2:74:af:ea:8d, 1542448050, 1542448373, patricia, 323
88:d2:74:af:ea:8d, 1542448138, 1542448373, patricia, 235
88:d2:74:af:ea:8d, 1542448205, 1542448373, patricia, 168
70:70:0d:df:07:df, 1542447007, 1542448425, patricia, 1418
70:70:0d:df:07:df, 1542447068, 1542448425, patricia, 1357
70:70:0d:df:07:df, 1542447098, 1542448425, patricia, 1327
70:70:0d:df:07:df, 1542447224, 1542448425, patricia, 1201
70:70:0d:df:07:df, 1542447258, 1542448425, patricia, 1167
70:70:0d:df:07:df, 1542447341, 1542448425, patricia, 1084
70:70:0d:df:07:df, 1542447418, 1542448425, patricia, 1007
70:70:0d:df:07:df, 1542447452, 1542448425, patricia, 973
