da:a1:19:01:85:98, 1542448087, 1542448590, patricia, 503
da:a1:19:01:85:98, 1542448380, 1542448590, patricia, 210
e8:3a:12:23:e8:67, 1542448497, 1542448652, patricia, 155
fc:3f:7c:1b:cc:6b, 1542448614, 1542448679, patricia, 65
4a:dd:d1:82:42:77, 1542448085, 1542448711, patricia, 626
4a:dd:d1:82:42:77, 1542448129, 1542448711, patricia, 582
44:d8:84:1b:33:72, 1542448086, 1542448721, patricia, 635
44:d8:84:1b:33:72, 1542448268, 1542448721, patricia, 453
44:d8:84:1b:33:72, 1542448313, 1542448721, patricia, 408
e6:2c:94:67:ea:fa, 1542448102, 1542448749, patricia, 647
68:5a:cf:c7:3f:1b, 1542448399, 1542448771, patricia, 372
e0:aa:96:2b:9b:a0, 1542448663, 1542448784, patricia, 121
e0:aa:96:2b:9b:a0, 1542448703, 1542448784, patricia, 81
52:88:fb:82:36:1d, 1542448130, 1542448806, patricia, 676
24:18:1d:57:00:a4, 1542447724, 1542448837, patricia, 1113
24:18:1d:57:00:a4, 1542447844, 1542448837, patricia, 993
24:18:1d:57:00:a4, 1542447966, 1542448837, patricia, 871
fc:3f:7c:1b:cc:6b, 1542448737, 1542448851, patricia, 114
08:c5:e1:e7:75:50, 1542448000, 1542448878, patricia, 878
08:c5:e1:e7:75:50, 1542448123, 1542448878, patricia, 755
08:c5:e1:e7:75:50, 1542448184, 1542448878, patricia, 694
08:c5:e1:e7:75:50, 1542448440, 1542448878, patricia, 438
5c:f8:a1:45:29:04, 1542448624, 1542448908, patricia, 284
d4:e6:b7:00:8a:0b, 1542448546, 1542448922, patricia, 376
d4:e6:b7:00:8a:0b, 1542448666, 1542448922, patricia, 256
00:5a:13:b4:21:9e, 1542447593, 1542448927, patricia, 1334
00:5a:13:b4:21:9e, 1542447699, 1542448927, patricia, 1228
00:5a:13:b4:21:9e, 1542447893, 1542448927, patricia, 1034
00:5a:13:b4:21:9e, 1542448115, 1542448927, patricia, 812
00:5a:13:b4:21:9e, 1542448208, 1542448927, patricia, 719
00:5a:13:b4:21:9e, 1542448823, 1542448927, patricia, 104
e4:e4:ab:19:e5:b5, 1542447396, 1542448971, patricia, 1575
48:27:ea:7e:06:86, 1542447853, 1542448998, patricia, 1145
48:27:ea:7e:06:86, 1542447901, 1542448998, patricia, 1097
48:27:ea:7e:06:86, 1542447958, 1542448998, patricia, 1040
00:00:00:00:00:00, 1542448701, 1542449005, patricia, 304
64:b0:a6:09:32:81, 1542448802, 1542449039, patricia, 237
e0:99:71:85:c2:61, 1542448722, 1542449092, patricia, 370
4c:66:41:fd:52:3d, 1542448701, 1542449124, patricia, 423
4c:66:41:fd:52:3d, 1542449003, 1542449124, patricia, 121
00:00:00:02:02:02, 1542448727, 1542449147, patricia, 420
00:00:00:02:02:02, 1542448779, 1542449147, patricia, 368
00:00:00:02:02:02, 1542448893, 1542449147, patricia, 254
00:00:00:02:02:02, 1542448947, 1542449147, patricia, 200
00:00:00:02:02:02, 1542448993, 1542449147, patricia, 154
e4:2b:34:1d:fd:85, 1542448730, 1542449149, patricia, 419
f0:98:9d:c8:59:80, 1542448649, 1542449152, patricia, 503
c8:19:f7:90:d9:db, 1542448614, 1542449176, patricia, 562
c8:19:f7:90:d9:db, 1542449047, 1542449176, patricia, 129
da:a1:19:01:85:98, 1542448813, 1542449184, patricia, 371
48:5a:3f:6f:bd:95, 1542448549, 1542449229, patricia, 680
00:00:00:02:02:02, 1542449203, 1542449241, patricia, 38
dc:bf:e9:6f:ee:b8, 1542448694, 1542449261, patricia, 567
dc:bf:e9:6f:ee:b8, 1542448917, 1542449261, patricia, 344
dc:bf:e9:6f:ee:b8, 1542448977, 1542449261, patricia, 284
dc:bf:e9:6f:ee:b8, 1542449105, 1542449261, patricia, 156
bc:3d:85:82:81:62, 1542447566, 1542449316, patricia, 1750
8c:34:fd:6c:dd:81, 1542448703, 1542449344, patricia, 641
8c:34:fd:6c:dd:81, 1542448767, 1542449344, patricia, 577
00:00:00:02:02:02, 1542449303, 1542449362, patricia, 59
94:7b:e7:90:2b:e5, 1542448885, 1542449370, patricia, 485
d0:2b:20:5e:fd:4e, 1542448708, 1542449398, patricia, 690
d0:2b:20:5e:fd:4e, 1542448936, 1542449398, patricia, 462
84:be:52:09:85:db, 1542449114, 1542449414, patricia, 300
78:00:9e:33:5a:30, 1542448752, 1542449434, patricia, 682
78:00:9e:33:5a:30, 1542448912, 1542449434, patricia, 522
78:00:9e:33:5a:30, 1542449410, 1542449434, patricia, 24
d0:b1:28:0d:ae:09, 1542448110, 1542449438, patricia, 1328
64:a2:f9:4c:00:9b, 1542449406, 1542449468, patricia, 62
a8:81:95:8c:50:be, 1542448037, 1542449473, patricia, 1436
a8:81:95:8c:50:be, 1542448093, 1542449473, patricia, 1380
a8:81:95:8c:50:be, 1542448189, 1542449473, patricia, 1284
82:20:21:52:38:08, 1542449412, 1542449478, patricia, 66
9c:5c:f9:70:0c:19, 1542449356, 1542449482, patricia, 126
40:88:05:4b:43:b7, 1542448836, 1542449500, patricia, 664
40:88:05:4b:43:b7, 1542448921, 1542449500, patricia, 579
40:88:05:4b:43:b7, 1542449405, 1542449500, patricia, 95
40:88:05:4b:43:b7, 1542449459, 1542449500, patricia, 41
24:da:9b:62:36:52, 1542449209, 1542449528, patricia, 319
24:da:9b:62:36:52, 1542449492, 1542449528, patricia, 36
80:58:f8:2f:21:44, 1542449236, 1542449544, patricia, 308
80:58:f8:2f:21:44, 1542449298, 1542449544, patricia, 246
a0:c9:a0:c6:59:61, 1542449304, 1542449545, patricia, 241
00:00:00:02:02:02, 1542449506, 1542449563, patricia, 57
40:f3:08:ff:7d:93, 1542449526, 1542449594, patricia, 68
a4:70:d6:e0:b8:10, 1542449118, 1542449623, patricia, 505
a4:70:d6:e0:b8:10, 1542449219, 1542449623, patricia, 404
a4:70:d6:e0:b8:10, 1542449300, 1542449623, patricia, 323
00:00:00:02:02:02, 1542449588, 1542449624, patricia, 36
30:07:4d:4e:96:e3, 1542448333, 1542449643, patricia, 1310
30:07:4d:4e:96:e3, 1542448704, 1542449643, patricia, 939
30:07:4d:4e:96:e3, 1542449233, 1542449643, patricia, 410
94:fe:22:60:01:85, 1542448132, 1542449658, patricia, 1526
94:fe:22:60:01:85, 1542448187, 1542449658, patricia, 1471
94:fe:22:60:01:85, 1542448267, 1542449658, patricia, 1391
94:fe:22:60:01:85, 1542448384, 1542449658, patricia, 1274
94:fe:22:60:01:85, 1542448420, 1542449658, patricia, 1238
94:fe:22:60:01:85, 1542448592, 1542449658, patricia, 1066
94:fe:22:60:01:85, 1542448660, 1542449658, patricia, 998
94:fe:22:60:01:85, 1542448749, 1542449658, patricia, 909
94:fe:22:60:01:85, 1542449056, 1542449658, patricia, 602
68:5a:cf:25:55:6c, 1542448373, 1542449669, patricia, 1296
04:d6:aa:01:f0:9e, 1542448648, 1542449669, patricia, 1021
04:d6:aa:80:8f:ed, 1542449310, 1542449719, patricia, 409
04:d6:aa:80:8f:ed, 1542449344, 1542449719, patricia, 375
04:d6:aa:80:8f:ed, 1542449387, 1542449719, patricia, 332
a4:6c:f1:c1:66:98, 1542449720, 1542449733, patricia, 13
e4:f8:ef:73:25:85, 1542449681, 1542449740, patricia, 59
ce:3e:94:67:d3:5d, 1542449581, 1542449808, patricia, 227
4c:dd:31:e9:1c:e0, 1542448855, 1542449819, patricia, 964
c0:ee:fb:58:80:95, 1542449649, 1542449821, patricia, 172
b8:1d:aa:c3:08:0c, 1542449459, 1542449828, patricia, 369
b8:1d:aa:c3:08:0c, 1542449521, 1542449828, patricia, 307
b8:1d:aa:c3:08:0c, 1542449582, 1542449828, patricia, 246
b8:5a:73:6a:59:e4, 1542449433, 1542449880, patricia, 447
b8:5a:73:6a:59:e4, 1542449727, 1542449880, patricia, 153
00:00:00:02:02:02, 1542449671, 1542449928, patricia, 257
00:00:00:02:02:02, 1542449736, 1542449928, patricia, 192
00:00:00:02:02:02, 1542449892, 1542449928, patricia, 36
d8:5b:2a:72:e9:af, 1542448187, 1542449940, patricia, 1753
d8:5b:2a:72:e9:af, 1542448611, 1542449940, patricia, 1329
d8:5b:2a:72:e9:af, 1542448749, 1542449940, patricia, 1191
d8:5b:2a:72:e9:af, 1542448868, 1542449940, patricia, 1072
d8:5b:2a:72:e9:af, 1542449015, 1542449940, patricia, 925
d8:5b:2a:72:e9:af, 1542449174, 1542449940, patricia, 766
d8:5b:2a:72:e9:af, 1542449819, 1542449940, patricia, 121
b8:08:d7:3b:c1:43, 1542449549, 1542449958, patricia, 409
b8:08:d7:3b:c1:43, 1542449768, 1542449958, patricia, 190
d0:b1:28:e7:6a:b1, 1542449445, 1542449973, patricia, 528
48:c7:96:91:82:83, 1542449244, 1542450063, patricia, 819
48:c7:96:91:82:83, 1542449303, 1542450063, patricia, 760
48:c7:96:91:82:83, 1542449373, 1542450063, patricia, 690
48:c7:96:91:82:83, 1542449561, 1542450063, patricia, 502
90:e7:c4:e6:c9:99, 1542449891, 1542450064, patricia, 173
50:9e:a7:9e:44:33, 1542448457, 1542450081, patricia, 1624
80:13:82:34:9e:b9, 1542449904, 1542450087, patricia, 183
00:1d:29:a3:74:c1, 1542449883, 1542450125, patricia, 242
d8:5b:2a:f4:14:cf, 1542449130, 1542450215, patricia, 1085
00:00:00:02:02:02, 1542449959, 1542450256, patricia, 297
a8:96:75:04:3c:84, 1542449598, 1542450261, patricia, 663
84:b5:41:e0:cc:78, 1542450255, 1542450331, patricia, 76
34:8a:7b:98:69:c4, 1542449862, 1542450348, patricia, 486
34:8a:7b:98:69:c4, 1542449923, 1542450348, patricia, 425
08:c5:e1:5b:a0:2c, 1542449991, 1542450356, patricia, 365
00:00:00:02:02:02, 1542450312, 1542450357, patricia, 45
dc:bf:e9:a7:ee:65, 1542449564, 1542450366, patricia, 802
dc:bf:e9:a7:ee:65, 1542449817, 1542450366, patricia, 549
dc:bf:e9:a7:ee:65, 1542449851, 1542450366, patricia, 515
dc:bf:e9:a7:ee:65, 1542449914, 1542450366, patricia, 452
dc:bf:e9:a7:ee:65, 1542449972, 1542450366, patricia, 394
dc:bf:e9:a7:ee:65, 1542450035, 1542450366, patricia, 331
dc:bf:e9:a7:ee:65, 1542450096, 1542450366, patricia, 270
dc:bf:e9:a7:ee:65, 1542450157, 1542450366, patricia, 209
dc:bf:e9:a7:ee:65, 1542450217, 1542450366, patricia, 149
34:2d:0d:6a:9c:c7, 1542449132, 1542450413, patricia, 1281
34:2d:0d:6a:9c:c7, 1542449548, 1542450413, patricia, 865
34:2d:0d:6a:9c:c7, 1542449592, 1542450413, patricia, 821
34:2d:0d:6a:9c:c7, 1542449775, 1542450413, patricia, 638
34:2d:0d:6a:9c:c7, 1542449855, 1542450413, patricia, 558
34:2d:0d:6a:9c:c7, 1542449956, 1542450413, patricia, 457
34:2d:0d:6a:9c:c7, 1542450065, 1542450413, patricia, 348
34:2d:0d:6a:9c:c7, 1542450128, 1542450413, patricia, 285
90:68:c3:8f:5d:1f, 1542449325, 1542450418, patricia, 1093
48:e9:f1:34:a1:d6, 1542450042, 1542450446, patricia, 404
48:e9:f1:34:a1:d6, 1542450086, 1542450446, patricia, 360
48:e9:f1:34:a1:d6, 1542450132, 1542450446, patricia, 314
d0:b1:28:87:28:47, 1542450099, 1542450449, patricia, 350
d0:b1:28:87:28:47, 1542450220, 1542450449, patricia, 229
d0:b1:28:87:28:47, 1542450270, 1542450449, patricia, 179
d0:b1:28:87:28:47, 1542450343, 1542450449, patricia, 106
80:4e:70:0b:74:56, 1542449748, 1542450471, patricia, 723
80:4e:70:0b:74:56, 1542449779, 1542450471, patricia, 692
42:9f:8b:cd:59:2c, 1542450145, 1542450505, patricia, 360
00:1d:29:a5:a6:31, 1542449967, 1542450517, patricia, 550
